,target_factor_0,target_factor_1,target_factor_2,target_factor_3,target_factor_4,target,p_target
0,0.36754644,0.009902076,0.3754282,0.008447614,0.23867567,2,2
1,0.33873188,0.20272422,0.39832082,0.036349136,0.023873929,2,2
2,0.07653567,0.31555757,0.065157235,0.014886611,0.5278629,1,4
3,0.78853863,0.1264526,0.033861816,0.016740607,0.034406386,0,0
4,0.13333656,0.32664785,0.045780357,0.47708252,0.0171527,3,3
5,0.5940633,0.3251294,0.05322785,0.014619055,0.012960464,0,0
6,0.6577285,0.03676793,0.04371563,0.25053966,0.011248271,3,0
7,0.0107452525,0.025088707,0.87439305,0.0051943404,0.08457868,3,2
